,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,Industrial and Commercial Bank of China,6303.44,5042.75,5862.2,522870.35
1,Agricultural Bank of China,5623.12,4498.5,5229.5,466437.8
2,China Construction Bank,5400.28,4320.22,5022.26,447953.23
3,Bank of China,4578.28,3662.62,4257.8,379768.33
4,JPMorgan Chase,3875.39,3100.31,3604.11,321463.6
5,Bank of America,3180.15,2544.12,2957.54,263793.44
6,HSBC,2919.84,2335.87,2715.45,242200.73
7,BNP Paribas,2867.44,2293.95,2666.72,237854.15
8,Mitsubishi UFJ Financial Group,2816.77,2253.42,2619.6,233651.07
9,Crédit Agricole,2736.95,2189.56,2545.36,227030.0
